Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;5.358;-;-;5.358;-;-
Wählende;3.886;72,5 %;+133;3.886;72,5 %;+133
Ungültige Stimmen;69;1,8 %;-01;60.0;1,5 %;-01
Gültige Stimmen;3.817;98,2 %;+01;3.826;98,5 %;+01
SPD;1.302;34,1 %;+50;1.16;30,3 %;+10
AfD;1.539;40,3 %;+116;1.385;36,2 %;+83
CDU;427;11,2 %;-22;357.0;9,3 %;-41
GRÜNE/B 90;50;1,3 %;-72;80.0;2,1 %;-66
DIE LINKE;176;4,6 %;-64;98.0;2,6 %;-70
BVB / FREIE WÄHLER;159;4,2 %;-18;61.0;1,6 %;-22
FDP;90;2,4 %;-07;31.0;0,8 %;-25
Tierschutzpartei;-;-;-;59.0;1,5 %;-12
Plus;-;-;-;15.0;0,4 %;-07
BSW;-;-;-;510.0;13,3 %;+133
III. Weg;-;-;-;5.0;0,1 %;+01
DKP;-;-;-;3.0;0,1 %;+01
DLW;74;1,9 %;+19;56.0;1,5 %;+15
WU;-;-;-;6.0;0,2 %;+02
