Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;7.389;-;-;7.389;-;-
Wählende;5.182;70,1 %;+132;5.182;70,1 %;+132
Ungültige Stimmen;72;1,4 %;+01;53.0;1,0 %;-02
Gültige Stimmen;5.110;98,6 %;-01;5.129;99,0 %;+02
SPD;1.592;31,2 %;+78;1.554;30,3 %;+28
AfD;1.813;35,5 %;+103;1.684;32,8 %;+73
CDU;897;17,6 %;+01;565.0;11,0 %;-53
GRÜNE/B 90;85;1,7 %;-106;170.0;3,3 %;-57
DIE LINKE;249;4,9 %;-73;140.0;2,7 %;-88
BVB / FREIE WÄHLER;286;5,6 %;+17;93.0;1,8 %;-13
FDP;55;1,1 %;-15;33.0;0,6 %;-18
Tierschutzpartei;133;2,6 %;+26;88.0;1,7 %;-08
Plus;-;-;-15;38.0;0,7 %;-12
BSW;-;-;-;731.0;14,3 %;+143
III. Weg;-;-;-;7.0;0,1 %;+01
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;15.0;0,3 %;+03
WU;-;-;-;11.0;0,2 %;+02
