Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;5.668;-;-;5.668;-;-
Wählende;4.428;78,1 %;+148;4.428;78,1 %;+148
Ungültige Stimmen;89;2,0 %;+05;56.0;1,3 %;-02
Gültige Stimmen;4.339;98,0 %;-05;4.372;98,7 %;+02
SPD;1.284;29,6 %;+57;1.039;23,8 %;+15
AfD;1.794;41,3 %;+130;1.623;37,1 %;+80
CDU;670;15,4 %;-68;562.0;12,9 %;-78
GRÜNE/B 90;68;1,6 %;-42;112.0;2,6 %;-39
DIE LINKE;242;5,6 %;-51;90.0;2,1 %;-82
BVB / FREIE WÄHLER;212;4,9 %;-19;95.0;2,2 %;-35
FDP;47;1,1 %;-11;19.0;0,4 %;-22
Tierschutzpartei;-;-;-;51.0;1,2 %;-09
Plus;-;-;-;22.0;0,5 %;-02
BSW;-;-;-;710.0;16,2 %;+162
III. Weg;22;0,5 %;+05;17.0;0,4 %;+04
DKP;-;-;-;2.0;0,0 %;+00
DLW;-;-;-;25.0;0,6 %;+06
WU;-;-;-;5.0;0,1 %;+01
