Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;8.365;-;-;8.365;-;-
Wählende;6.289;75,2 %;+173;6.289;75,2 %;+173
Ungültige Stimmen;96;1,5 %;+00;52.0;0,8 %;-06
Gültige Stimmen;6.193;98,5 %;-00;6.237;99,2 %;+06
SPD;1.804;29,1 %;+36;1.587;25,4 %;+03
AfD;2.455;39,6 %;+117;2.188;35,1 %;+69
CDU;857;13,8 %;-21;629.0;10,1 %;-55
GRÜNE/B 90;157;2,5 %;-83;230.0;3,7 %;-64
DIE LINKE;328;5,3 %;-43;239.0;3,8 %;-63
BVB / FREIE WÄHLER;524;8,5 %;+32;153.0;2,5 %;-22
FDP;68;1,1 %;-23;43.0;0,7 %;-26
Tierschutzpartei;-;-;-;80.0;1,3 %;-09
Plus;-;-;-;31.0;0,5 %;-02
BSW;-;-;-;1.008;16,2 %;+162
III. Weg;-;-;-;7.0;0,1 %;+01
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;32.0;0,5 %;+05
WU;-;-;-;10.0;0,2 %;+02
