Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;8.828;-;-;8.828;-;-
Wählende;6.662;75,5 %;+119;6.662;75,5 %;+119
Ungültige Stimmen;87;1,3 %;+03;46.0;0,7 %;-02
Gültige Stimmen;6.575;98,7 %;-03;6.616;99,3 %;+02
SPD;1.953;29,7 %;+118;1.865;28,2 %;+55
AfD;2.160;32,9 %;+99;1.988;30,0 %;+60
CDU;1.506;22,9 %;+05;880.0;13,3 %;-53
GRÜNE/B 90;109;1,7 %;-63;191.0;2,9 %;-56
DIE LINKE;355;5,4 %;-111;176.0;2,7 %;-96
BVB / FREIE WÄHLER;376;5,7 %;-04;134.0;2,0 %;-22
FDP;90;1,4 %;-25;64.0;1,0 %;-42
Tierschutzpartei;-;-;-;125.0;1,9 %;-12
Plus;-;-;-;52.0;0,8 %;-05
BSW;-;-;-;1.087;16,4 %;+164
III. Weg;-;-;-;6.0;0,1 %;+01
DKP;26;0,4 %;+04;1.0;0,0 %;+00
DLW;-;-;-;28.0;0,4 %;+04
WU;-;-;-;19.0;0,3 %;+03
