Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;7.382;-;-;7.382;-;-
Wählende;5.596;75,8 %;+117;5.596;75,8 %;+117
Ungültige Stimmen;88;1,6 %;+00;64.0;1,1 %;-02
Gültige Stimmen;5.508;98,4 %;-00;5.532;98,9 %;+02
SPD;1.782;32,4 %;+67;1.553;28,1 %;+16
AfD;2.345;42,6 %;+95;2.125;38,4 %;+59
CDU;651;11,8 %;-53;570.0;10,3 %;-50
GRÜNE/B 90;123;2,2 %;-52;144.0;2,6 %;-38
DIE LINKE;135;2,5 %;-45;98.0;1,8 %;-46
BVB / FREIE WÄHLER;239;4,3 %;-18;142.0;2,6 %;-23
FDP;41;0,7 %;-30;20.0;0,4 %;-38
Tierschutzpartei;-;-;-;104.0;1,9 %;-07
Plus;60;1,1 %;+11;36.0;0,7 %;-04
BSW;-;-;-;638.0;11,5 %;+115
III. Weg;-;-;-;22.0;0,4 %;+04
DKP;-;-;-;3.0;0,1 %;+01
DLW;132;2,4 %;+24;66.0;1,2 %;+12
WU;-;-;-;11.0;0,2 %;+02
