Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;6.453;-;-;6.453;-;-
Wählende;5.018;77,8 %;+139;5.018;77,8 %;+139
Ungültige Stimmen;72;1,4 %;-01;44;0,9 %;-04
Gültige Stimmen;4.946;98,6 %;+01;4.974;99,1 %;+04
SPD;1.151;23,3 %;+68;1.254;25,2 %;+37
AfD;2.160;43,7 %;+111;2.021;40,6 %;+57
CDU;707;14,3 %;-128;563;11,3 %;-66
GRÜNE/B 90;46;0,9 %;-31;49;1,0 %;-34
DIE LINKE;164;3,3 %;-59;70;1,4 %;-74
BVB / FREIE WÄHLER;394;8,0 %;+03;105;2,1 %;-25
FDP;46;0,9 %;-20;19;0,4 %;-32
Tierschutzpartei;-;-;-;73;1,5 %;-15
Plus;54;1,1 %;+11;31;0,6 %;-04
BSW;-;-;-;744;15,0 %;+150
III. Weg;-;-;-;5;0,1 %;+01
DKP;-;-;-;6;0,1 %;+01
DLW;-;-;-;14;0,3 %;+03
WU;-;-;-;20;0,4 %;+04
EB Gliese;224;4,5 %;+45;-;-;-
