Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;8.510;-;-;8.510;-;-
Wählende;6.820;80,1 %;+126;6.820;80,1 %;+126
Ungültige Stimmen;75;1,1 %;+01;48;0,7 %;-04
Gültige Stimmen;6.745;98,9 %;-01;6.772;99,3 %;+04
SPD;1.676;24,8 %;+60;1.830;27,0 %;+43
AfD;2.571;38,1 %;+120;2.380;35,1 %;+64
CDU;1.146;17,0 %;-101;812;12,0 %;-67
GRÜNE/B 90;88;1,3 %;-46;101;1,5 %;-45
DIE LINKE;270;4,0 %;-72;147;2,2 %;-79
BVB / FREIE WÄHLER;421;6,2 %;-12;174;2,6 %;-33
FDP;159;2,4 %;-11;42;0,6 %;-39
Tierschutzpartei;-;-;-;90;1,3 %;-08
Plus;149;2,2 %;+22;54;0,8 %;-02
BSW;-;-;-;1.073;15,8 %;+158
III. Weg;-;-;-;3;0,0 %;+00
DKP;-;-;-;5;0,1 %;+01
DLW;-;-;-;29;0,4 %;+04
WU;-;-;-;32;0,5 %;+05
EB Gliese;265;3,9 %;+39;-;-;-
