Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;3.901;-;-;3.901;-;-
Wählende;2.973;76,2 %;+146;2.973;76,2 %;+146
Ungültige Stimmen;46;1,5 %;-01;23.0;0,8 %;-06
Gültige Stimmen;2.927;98,5 %;+01;2.95;99,2 %;+06
SPD;788;26,9 %;+92;728.0;24,7 %;+28
AfD;1.259;43,0 %;+164;1.116;37,8 %;+98
CDU;393;13,4 %;+08;243.0;8,2 %;-58
GRÜNE/B 90;80;2,7 %;-29;81.0;2,7 %;-51
DIE LINKE;152;5,2 %;-165;79.0;2,7 %;-104
BVB / FREIE WÄHLER;219;7,5 %;-59;91.0;3,1 %;-48
FDP;36;1,2 %;-11;21.0;0,7 %;-27
Tierschutzpartei;-;-;-;53.0;1,8 %;-06
Plus;-;-;-;20.0;0,7 %;-07
BSW;-;-;-;481.0;16,3 %;+163
III. Weg;-;-;-;2.0;0,1 %;+01
DKP;-;-;-;5.0;0,2 %;+02
DLW;-;-;-;26.0;0,9 %;+09
WU;-;-;-;4.0;0,1 %;+01
