Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;8.989;-;-;8.989;-;-
Wählende;7.114;79,1 %;+94;7.114;79,1 %;+94
Ungültige Stimmen;111;1,6 %;+05;92;1,3 %;+01
Gültige Stimmen;7.003;98,4 %;-05;7.022;98,7 %;-01
SPD;2.586;36,9 %;+65;1.714;24,4 %;+05
AfD;3.110;44,4 %;+80;2.922;41,6 %;+46
CDU;612;8,7 %;-25;693;9,9 %;-35
GRÜNE/B 90;50;0,7 %;-27;105;1,5 %;-27
DIE LINKE;148;2,1 %;-41;128;1,8 %;-55
BVB / FREIE WÄHLER;362;5,2 %;-23;168;2,4 %;-31
FDP;54;0,8 %;-34;59;0,8 %;-47
Tierschutzpartei;-;-;-;108;1,5 %;-04
Plus;-;-;-07;16;0,2 %;-07
BSW;-;-;-;1.043;14,9 %;+149
III. Weg;-;-;-;7;0,1 %;+01
DKP;-;-;-;4;0,1 %;+01
DLW;-;-;-;35;0,5 %;+05
WU;-;-;-;20;0,3 %;+03
Die PARTEI;81;1,2 %;+12;-;-;-
