Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;532;-;-;532;-;-
Ungültige Stimmen;3;0,6 %;-;1;0,2 %;-
Gültige Stimmen;529;99,4 %;-;531;99,8 %;-
SPD;188;35,5 %;-;199;37,5 %;-
AfD;141;26,7 %;-;127;23,9 %;-
CDU;114;21,6 %;-;65;12,2 %;-
GRÜNE/B 90;10;1,9 %;-;18;3,4 %;-
DIE LINKE;48;9,1 %;-;20;3,8 %;-
BVB / FREIE WÄHLER;21;4,0 %;-;8;1,5 %;-
FDP;2;0,4 %;-;3;0,6 %;-
Tierschutzpartei;-;-;-;10;1,9 %;-
Plus;-;-;-;3;0,6 %;-
BSW;-;-;-;72;13,6 %;-
III. Weg;5;0,9 %;-;2;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;0,8 %;-
WU;-;-;-;0;0,0 %;-
