Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;531;-;-;531;-;-
Ungültige Stimmen;4;0,8 %;-05;1;0,2 %;-05
Gültige Stimmen;527;99,2 %;+05;530;99,8 %;+05
SPD;144;27,3 %;+95;157;29,6 %;+24
AfD;131;24,9 %;+77;118;22,3 %;+46
CDU;176;33,4 %;+21;126;23,8 %;-30
GRÜNE/B 90;13;2,5 %;-73;14;2,6 %;-65
DIE LINKE;35;6,6 %;-52;14;2,6 %;-46
BVB / FREIE WÄHLER;23;4,4 %;-29;9;1,7 %;-33
FDP;3;0,6 %;-43;2;0,4 %;-40
Tierschutzpartei;-;-;-;6;1,1 %;-06
Plus;-;-;-;3;0,6 %;-02
BSW;-;-;-;78;14,7 %;+147
III. Weg;2;0,4 %;+04;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;2;0,4 %;+04
WU;-;-;-;1;0,2 %;+02
