Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;629;-;-;629;-;-
Ungültige Stimmen;7;1,1 %;-;6;1,0 %;-
Gültige Stimmen;622;98,9 %;-;623;99,0 %;-
SPD;214;34,4 %;-;214;34,3 %;-
AfD;94;15,1 %;-;104;16,7 %;-
CDU;177;28,5 %;-;149;23,9 %;-
GRÜNE/B 90;11;1,8 %;-;12;1,9 %;-
DIE LINKE;55;8,8 %;-;22;3,5 %;-
BVB / FREIE WÄHLER;27;4,3 %;-;15;2,4 %;-
FDP;4;0,6 %;-;3;0,5 %;-
Tierschutzpartei;-;-;-;10;1,6 %;-
Plus;7;1,1 %;-;1;0,2 %;-
BSW;-;-;-;90;14,4 %;-
III. Weg;2;0,3 %;-;1;0,2 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;31;5,0 %;-;-;-;-
