Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;734;-;-;734;-;-
Ungültige Stimmen;6;0,8 %;-;2;0,3 %;-
Gültige Stimmen;728;99,2 %;-;732;99,7 %;-
SPD;349;47,9 %;-;269;36,7 %;-
AfD;145;19,9 %;-;138;18,9 %;-
CDU;145;19,9 %;-;139;19,0 %;-
GRÜNE/B 90;5;0,7 %;-;1;0,1 %;-
DIE LINKE;38;5,2 %;-;26;3,6 %;-
BVB / FREIE WÄHLER;29;4,0 %;-;10;1,4 %;-
FDP;6;0,8 %;-;8;1,1 %;-
Tierschutzpartei;-;-;-;3;0,4 %;-
Plus;5;0,7 %;-;6;0,8 %;-
BSW;-;-;-;129;17,6 %;-
III. Weg;1;0,1 %;-;0;0,0 %;-
DKP;-;-;-;2;0,3 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;5;0,7 %;-;-;-;-
