Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;678;-;-;678;-;-
Ungültige Stimmen;7;1,0 %;+04;2;0,3 %;-03
Gültige Stimmen;671;99,0 %;-04;676;99,7 %;+03
SPD;241;35,9 %;+168;235;34,8 %;+72
AfD;148;22,1 %;+63;123;18,2 %;-11
CDU;137;20,4 %;-57;110;16,3 %;-43
GRÜNE/B 90;26;3,9 %;-144;24;3,6 %;-81
DIE LINKE;44;6,6 %;-24;22;3,3 %;-50
BVB / FREIE WÄHLER;42;6,3 %;+03;15;2,2 %;-26
FDP;11;1,6 %;-24;3;0,4 %;-44
Tierschutzpartei;-;-;-;14;2,1 %;+00
Plus;-;-;-05;8;1,2 %;+04
BSW;-;-;-;108;16,0 %;+160
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;1;0,1 %;+01
DLW;22;3,3 %;+33;13;1,9 %;+19
WU;-;-;-;0;0,0 %;00
