Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;688;-;-;688;-;-
Ungültige Stimmen;3;0,4 %;-;4;0,6 %;-
Gültige Stimmen;685;99,6 %;-;684;99,4 %;-
SPD;269;39,3 %;-;244;35,7 %;-
AfD;129;18,8 %;-;95;13,9 %;-
CDU;143;20,9 %;-;106;15,5 %;-
GRÜNE/B 90;18;2,6 %;-;32;4,7 %;-
DIE LINKE;69;10,1 %;-;34;5,0 %;-
BVB / FREIE WÄHLER;36;5,3 %;-;18;2,6 %;-
FDP;8;1,2 %;-;4;0,6 %;-
Tierschutzpartei;-;-;-;9;1,3 %;-
Plus;-;-;-;4;0,6 %;-
BSW;-;-;-;129;18,9 %;-
III. Weg;-;-;-;2;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;13;1,9 %;-;5;0,7 %;-
WU;-;-;-;2;0,3 %;-
