Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;718;-;-;718;-;-
Ungültige Stimmen;9;1,3 %;+06;5;0,7 %;+07
Gültige Stimmen;709;98,7 %;-06;713;99,3 %;-07
SPD;199;28,1 %;+149;177;24,8 %;+45
AfD;191;26,9 %;+69;161;22,6 %;+20
CDU;170;24,0 %;+31;119;16,7 %;-02
GRÜNE/B 90;34;4,8 %;-141;41;5,8 %;-101
DIE LINKE;35;4,9 %;-82;18;2,5 %;-97
BVB / FREIE WÄHLER;43;6,1 %;-03;20;2,8 %;-28
FDP;9;1,3 %;-15;9;1,3 %;-21
Tierschutzpartei;-;-;-;13;1,8 %;-22
Plus;-;-;-09;6;0,8 %;-03
BSW;-;-;-;130;18,2 %;+182
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;28;3,9 %;+39;17;2,4 %;+24
WU;-;-;-;2;0,3 %;+03
