Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;485;-;-;485;-;-
Ungültige Stimmen;7;1,4 %;-;3;0,6 %;-
Gültige Stimmen;478;98,6 %;-;482;99,4 %;-
SPD;226;47,3 %;-;199;41,3 %;-
AfD;101;21,1 %;-;94;19,5 %;-
CDU;62;13,0 %;-;55;11,4 %;-
GRÜNE/B 90;2;0,4 %;-;5;1,0 %;-
DIE LINKE;48;10,0 %;-;16;3,3 %;-
BVB / FREIE WÄHLER;26;5,4 %;-;8;1,7 %;-
FDP;2;0,4 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;6;1,2 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;92;19,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;11;2,3 %;-;6;1,2 %;-
WU;-;-;-;0;0,0 %;-
