Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;613;-;-;613;-;-
Ungültige Stimmen;8;1,3 %;+13;3;0,5 %;-03
Gültige Stimmen;605;98,7 %;-13;610;99,5 %;+03
SPD;194;32,1 %;+142;165;27,0 %;+55
AfD;164;27,1 %;+62;140;23,0 %;+08
CDU;121;20,0 %;+06;96;15,7 %;-33
GRÜNE/B 90;15;2,5 %;-54;27;4,4 %;-69
DIE LINKE;43;7,1 %;-176;15;2,5 %;-119
BVB / FREIE WÄHLER;27;4,5 %;-17;6;1,0 %;-31
FDP;13;2,1 %;-09;3;0,5 %;-13
Tierschutzpartei;-;-;-;7;1,1 %;-17
Plus;-;-;-;2;0,3 %;-20
BSW;-;-;-;141;23,1 %;+231
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;28;4,6 %;+46;6;1,0 %;+10
WU;-;-;-;2;0,3 %;+03
