Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;805;-;-;805;-;-
Ungültige Stimmen;11;1,4 %;+05;4;0,5 %;+03
Gültige Stimmen;794;98,6 %;-05;801;99,5 %;-03
SPD;260;32,7 %;+128;253;31,6 %;+79
AfD;188;23,7 %;+74;160;20,0 %;+40
CDU;159;20,0 %;-70;142;17,7 %;-94
GRÜNE/B 90;21;2,6 %;-17;18;2,2 %;-34
DIE LINKE;50;6,3 %;-134;21;2,6 %;-106
BVB / FREIE WÄHLER;53;6,7 %;-02;13;1,6 %;-45
FDP;6;0,8 %;-50;5;0,6 %;-44
Tierschutzpartei;-;-;-;16;2,0 %;+02
Plus;-;-;-;4;0,5 %;-06
BSW;-;-;-;140;17,5 %;+175
III. Weg;-;-;-;2;0,2 %;+02
DKP;-;-;-;1;0,1 %;+01
DLW;57;7,2 %;+72;21;2,6 %;+26
WU;-;-;-;5;0,6 %;+06
