Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;665;-;-;665;-;-
Ungültige Stimmen;9;1,4 %;-;3;0,5 %;-
Gültige Stimmen;656;98,6 %;-;662;99,5 %;-
SPD;224;34,1 %;-;203;30,7 %;-
AfD;185;28,2 %;-;167;25,2 %;-
CDU;117;17,8 %;-;81;12,2 %;-
GRÜNE/B 90;19;2,9 %;-;23;3,5 %;-
DIE LINKE;46;7,0 %;-;20;3,0 %;-
BVB / FREIE WÄHLER;43;6,6 %;-;14;2,1 %;-
FDP;7;1,1 %;-;4;0,6 %;-
Tierschutzpartei;-;-;-;23;3,5 %;-
Plus;-;-;-;6;0,9 %;-
BSW;-;-;-;109;16,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,3 %;-
DLW;15;2,3 %;-;6;0,9 %;-
WU;-;-;-;4;0,6 %;-
