Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;689;-;-;689;-;-
Ungültige Stimmen;5;0,7 %;-;5;0,7 %;-
Gültige Stimmen;684;99,3 %;-;684;99,3 %;-
SPD;259;37,9 %;-;253;37,0 %;-
AfD;166;24,3 %;-;142;20,8 %;-
CDU;144;21,1 %;-;105;15,4 %;-
GRÜNE/B 90;22;3,2 %;-;24;3,5 %;-
DIE LINKE;33;4,8 %;-;21;3,1 %;-
BVB / FREIE WÄHLER;41;6,0 %;-;5;0,7 %;-
FDP;7;1,0 %;-;5;0,7 %;-
Tierschutzpartei;-;-;-;11;1,6 %;-
Plus;-;-;-;5;0,7 %;-
BSW;-;-;-;105;15,4 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;12;1,8 %;-;5;0,7 %;-
WU;-;-;-;2;0,3 %;-
