Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;400;-;-;400;-;-
Ungültige Stimmen;4;1,0 %;-;3;0,8 %;-
Gültige Stimmen;396;99,0 %;-;397;99,2 %;-
SPD;119;30,1 %;-;126;31,7 %;-
AfD;100;25,3 %;-;83;20,9 %;-
CDU;81;20,5 %;-;62;15,6 %;-
GRÜNE/B 90;31;7,8 %;-;26;6,5 %;-
DIE LINKE;22;5,6 %;-;10;2,5 %;-
BVB / FREIE WÄHLER;29;7,3 %;-;6;1,5 %;-
FDP;8;2,0 %;-;8;2,0 %;-
Tierschutzpartei;-;-;-;18;4,5 %;-
Plus;-;-;-;4;1,0 %;-
BSW;-;-;-;51;12,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;6;1,5 %;-;1;0,3 %;-
WU;-;-;-;2;0,5 %;-
