Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;668;-;-;668;-;-
Ungültige Stimmen;8;1,2 %;+05;1;0,1 %;+01
Gültige Stimmen;660;98,8 %;-05;667;99,9 %;-01
SPD;198;30,0 %;+95;199;29,8 %;+68
AfD;214;32,4 %;+74;185;27,7 %;+26
CDU;149;22,6 %;+75;116;17,4 %;+25
GRÜNE/B 90;17;2,6 %;-113;22;3,3 %;-88
DIE LINKE;33;5,0 %;-108;18;2,7 %;-103
BVB / FREIE WÄHLER;32;4,8 %;-04;8;1,2 %;-35
FDP;4;0,6 %;-39;2;0,3 %;-33
Tierschutzpartei;-;-;-;10;1,5 %;-06
Plus;-;-;-;4;0,6 %;-06
BSW;-;-;-;101;15,1 %;+151
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;13;2,0 %;+20;1;0,1 %;+01
WU;-;-;-;1;0,1 %;+01
