Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;771;-;-;771;-;-
Ungültige Stimmen;10;1,3 %;-;2;0,3 %;-
Gültige Stimmen;761;98,7 %;-;769;99,7 %;-
SPD;247;32,5 %;-;248;32,2 %;-
AfD;105;13,8 %;-;98;12,7 %;-
CDU;251;33,0 %;-;205;26,7 %;-
GRÜNE/B 90;74;9,7 %;-;71;9,2 %;-
DIE LINKE;22;2,9 %;-;19;2,5 %;-
BVB / FREIE WÄHLER;50;6,6 %;-;17;2,2 %;-
FDP;12;1,6 %;-;11;1,4 %;-
Tierschutzpartei;-;-;-;16;2,1 %;-
Plus;-;-;-;6;0,8 %;-
BSW;-;-;-;74;9,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,4 %;-
WU;-;-;-;1;0,1 %;-
