Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;941;-;-;941;-;-
Ungültige Stimmen;7;0,7 %;-;2;0,2 %;-
Gültige Stimmen;934;99,3 %;-;939;99,8 %;-
SPD;329;35,2 %;-;328;34,9 %;-
AfD;175;18,7 %;-;157;16,7 %;-
CDU;251;26,9 %;-;207;22,0 %;-
GRÜNE/B 90;66;7,1 %;-;63;6,7 %;-
DIE LINKE;35;3,7 %;-;19;2,0 %;-
BVB / FREIE WÄHLER;49;5,2 %;-;25;2,7 %;-
FDP;29;3,1 %;-;19;2,0 %;-
Tierschutzpartei;-;-;-;23;2,4 %;-
Plus;-;-;-;8;0,9 %;-
BSW;-;-;-;77;8,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;7;0,7 %;-
WU;-;-;-;6;0,6 %;-
