Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;635;-;-;635;-;-
Ungültige Stimmen;2;0,3 %;-;1;0,2 %;-
Gültige Stimmen;633;99,7 %;-;634;99,8 %;-
SPD;173;27,3 %;-;177;27,9 %;-
AfD;116;18,3 %;-;110;17,4 %;-
CDU;218;34,4 %;-;186;29,3 %;-
GRÜNE/B 90;45;7,1 %;-;48;7,6 %;-
DIE LINKE;13;2,1 %;-;8;1,3 %;-
BVB / FREIE WÄHLER;62;9,8 %;-;23;3,6 %;-
FDP;6;0,9 %;-;10;1,6 %;-
Tierschutzpartei;-;-;-;10;1,6 %;-
Plus;-;-;-;5;0,8 %;-
BSW;-;-;-;52;8,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;3;0,5 %;-
WU;-;-;-;1;0,2 %;-
