Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;906;-;-;906;-;-
Ungültige Stimmen;9;1,0 %;-;2;0,2 %;-
Gültige Stimmen;897;99,0 %;-;904;99,8 %;-
SPD;325;36,2 %;-;308;34,1 %;-
AfD;200;22,3 %;-;179;19,8 %;-
CDU;168;18,7 %;-;136;15,0 %;-
GRÜNE/B 90;54;6,0 %;-;47;5,2 %;-
DIE LINKE;54;6,0 %;-;30;3,3 %;-
BVB / FREIE WÄHLER;77;8,6 %;-;29;3,2 %;-
FDP;7;0,8 %;-;10;1,1 %;-
Tierschutzpartei;-;-;-;26;2,9 %;-
Plus;12;1,3 %;-;12;1,3 %;-
BSW;-;-;-;122;13,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;3;0,3 %;-
