Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;903;-;-;903;-;-
Ungültige Stimmen;8;0,9 %;-;5;0,6 %;-
Gültige Stimmen;895;99,1 %;-;898;99,4 %;-
SPD;340;38,0 %;-;337;37,5 %;-
AfD;173;19,3 %;-;147;16,4 %;-
CDU;181;20,2 %;-;144;16,0 %;-
GRÜNE/B 90;53;5,9 %;-;43;4,8 %;-
DIE LINKE;32;3,6 %;-;13;1,4 %;-
BVB / FREIE WÄHLER;70;7,8 %;-;25;2,8 %;-
FDP;13;1,5 %;-;10;1,1 %;-
Tierschutzpartei;-;-;-;29;3,2 %;-
Plus;33;3,7 %;-;24;2,7 %;-
BSW;-;-;-;116;12,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;5;0,6 %;-
WU;-;-;-;5;0,6 %;-
