Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.222;-;-;1.222;-;-
Ungültige Stimmen;8;0,7 %;-05;2.0;0,2 %;-04
Gültige Stimmen;1.214;99,3 %;+05;1.22;99,8 %;+04
SPD;410;33,8 %;+104;426.0;34,9 %;+107
AfD;226;18,6 %;+06;223.0;18,3 %;+05
CDU;309;25,5 %;-02;243.0;19,9 %;-37
GRÜNE/B 90;47;3,9 %;-111;57.0;4,7 %;-91
DIE LINKE;48;4,0 %;-35;16.0;1,3 %;-50
BVB / FREIE WÄHLER;134;11,0 %;+43;41.0;3,4 %;-10
FDP;17;1,4 %;-24;16.0;1,3 %;-33
Tierschutzpartei;-;-;-;24.0;2,0 %;-17
Plus;23;1,9 %;+19;15.0;1,2 %;-04
BSW;-;-;-;150.0;12,3 %;+123
III. Weg;-;-;-;0.0;0,0 %;00
DKP;-;-;-;0.0;0,0 %;00
DLW;-;-;-;3.0;0,2 %;+02
WU;-;-;-;6.0;0,5 %;+05
