Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;741;-;-;741;-;-
Ungültige Stimmen;4;0,5 %;-;2;0,3 %;-
Gültige Stimmen;737;99,5 %;-;739;99,7 %;-
SPD;274;37,2 %;-;240;32,5 %;-
AfD;152;20,6 %;-;133;18,0 %;-
CDU;173;23,5 %;-;141;19,1 %;-
GRÜNE/B 90;22;3,0 %;-;30;4,1 %;-
DIE LINKE;22;3,0 %;-;12;1,6 %;-
BVB / FREIE WÄHLER;56;7,6 %;-;16;2,2 %;-
FDP;16;2,2 %;-;13;1,8 %;-
Tierschutzpartei;-;-;-;18;2,4 %;-
Plus;22;3,0 %;-;16;2,2 %;-
BSW;-;-;-;111;15,0 %;-
III. Weg;-;-;-;3;0,4 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;3;0,4 %;-
