Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;808;-;-;808;-;-
Ungültige Stimmen;9;1,1 %;-00;5;0,6 %;-01
Gültige Stimmen;799;98,9 %;+00;803;99,4 %;+01
SPD;189;23,7 %;+41;187;23,3 %;+43
AfD;231;28,9 %;+68;205;25,5 %;+21
CDU;241;30,2 %;+38;150;18,7 %;-29
GRÜNE/B 90;14;1,8 %;-70;22;2,7 %;-71
DIE LINKE;37;4,6 %;-88;21;2,6 %;-121
BVB / FREIE WÄHLER;50;6,3 %;+11;18;2,2 %;-22
FDP;10;1,3 %;-09;10;1,2 %;-13
Tierschutzpartei;-;-;-;24;3,0 %;-10
Plus;16;2,0 %;+13;9;1,1 %;+07
BSW;-;-;-;147;18,3 %;+183
III. Weg;11;1,4 %;+14;1;0,1 %;+01
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;7;0,9 %;+09
WU;-;-;-;2;0,2 %;+02
