Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;690;-;-;690;-;-
Ungültige Stimmen;9;1,3 %;+06;1;0,1 %;-11
Gültige Stimmen;681;98,7 %;-06;689;99,9 %;+11
SPD;207;30,4 %;+192;207;30,0 %;+88
AfD;138;20,3 %;+18;119;17,3 %;-30
CDU;155;22,8 %;+12;106;15,4 %;-66
GRÜNE/B 90;43;6,3 %;-238;34;4,9 %;-109
DIE LINKE;47;6,9 %;-57;29;4,2 %;-87
BVB / FREIE WÄHLER;48;7,0 %;+24;8;1,2 %;-25
FDP;7;1,0 %;+05;1;0,1 %;-06
Tierschutzpartei;36;5,3 %;+53;16;2,3 %;+01
Plus;-;-;-07;4;0,6 %;-02
BSW;-;-;-;163;23,7 %;+237
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,1 %;+01
WU;-;-;-;1;0,1 %;+01
