Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;639;-;-;639;-;-
Ungültige Stimmen;6;0,9 %;-;4;0,6 %;-
Gültige Stimmen;633;99,1 %;-;635;99,4 %;-
SPD;249;39,3 %;-;207;32,6 %;-
AfD;146;23,1 %;-;129;20,3 %;-
CDU;106;16,7 %;-;79;12,4 %;-
GRÜNE/B 90;26;4,1 %;-;25;3,9 %;-
DIE LINKE;47;7,4 %;-;18;2,8 %;-
BVB / FREIE WÄHLER;50;7,9 %;-;10;1,6 %;-
FDP;8;1,3 %;-;4;0,6 %;-
Tierschutzpartei;-;-;-;5;0,8 %;-
Plus;-;-;-;8;1,3 %;-
BSW;-;-;-;149;23,5 %;-
III. Weg;1;0,2 %;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
