Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;552;-;-;552;-;-
Ungültige Stimmen;6;1,1 %;-;0;0,0 %;-
Gültige Stimmen;546;98,9 %;-;552;100,0 %;-
SPD;228;41,8 %;-;183;33,2 %;-
AfD;122;22,3 %;-;106;19,2 %;-
CDU;89;16,3 %;-;65;11,8 %;-
GRÜNE/B 90;17;3,1 %;-;30;5,4 %;-
DIE LINKE;31;5,7 %;-;24;4,3 %;-
BVB / FREIE WÄHLER;47;8,6 %;-;14;2,5 %;-
FDP;9;1,6 %;-;9;1,6 %;-
Tierschutzpartei;-;-;-;12;2,2 %;-
Plus;-;-;-;2;0,4 %;-
BSW;-;-;-;102;18,5 %;-
III. Weg;3;0,5 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;3;0,5 %;-
