Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;713;-;-;713;-;-
Ungültige Stimmen;14;2,0 %;+15;4;0,6 %;+02
Gültige Stimmen;699;98,0 %;-15;709;99,4 %;-02
SPD;218;31,2 %;+56;176;24,8 %;+04
AfD;210;30,0 %;+112;176;24,8 %;+48
CDU;135;19,3 %;-35;117;16,5 %;-51
GRÜNE/B 90;12;1,7 %;-44;12;1,7 %;-50
DIE LINKE;56;8,0 %;-83;27;3,8 %;-108
BVB / FREIE WÄHLER;53;7,6 %;+00;12;1,7 %;-36
FDP;12;1,7 %;-10;6;0,8 %;-23
Tierschutzpartei;-;-;-;15;2,1 %;-07
Plus;-;-;-;6;0,8 %;-02
BSW;-;-;-;158;22,3 %;+223
III. Weg;3;0,4 %;+04;0;0,0 %;00
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;3;0,4 %;+04
WU;-;-;-;0;0,0 %;00
