Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;130;-;-;130;-;-
Ungültige Stimmen;4;3,1 %;+19;0;0,0 %;-12
Gültige Stimmen;126;96,9 %;-19;130;100,0 %;+12
SPD;43;34,1 %;+04;42;32,3 %;+73
AfD;35;27,8 %;+61;28;21,5 %;+01
CDU;18;14,3 %;-26;13;10,0 %;-90
GRÜNE/B 90;3;2,4 %;-36;2;1,5 %;-68
DIE LINKE;11;8,7 %;-09;6;4,6 %;-49
BVB / FREIE WÄHLER;11;8,7 %;+27;4;3,1 %;-17
FDP;3;2,4 %;-36;1;0,8 %;-64
Tierschutzpartei;-;-;-;1;0,8 %;-28
Plus;-;-;-;1;0,8 %;-04
BSW;-;-;-;31;23,8 %;+238
III. Weg;2;1,6 %;+16;0;0,0 %;00
DKP;-;-;-;1;0,8 %;+08
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
