Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;387;-;-;387;-;-
Ungültige Stimmen;12;3,1 %;-;10;2,6 %;-
Gültige Stimmen;375;96,9 %;-;377;97,4 %;-
SPD;105;28,0 %;-;89;23,6 %;-
AfD;144;38,4 %;-;122;32,4 %;-
CDU;69;18,4 %;-;46;12,2 %;-
GRÜNE/B 90;6;1,6 %;-;4;1,1 %;-
DIE LINKE;13;3,5 %;-;7;1,9 %;-
BVB / FREIE WÄHLER;35;9,3 %;-;11;2,9 %;-
FDP;1;0,3 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;3;0,8 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;83;22,0 %;-
III. Weg;2;0,5 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;5;1,3 %;-
WU;-;-;-;3;0,8 %;-
