Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;373;-;-;373;-;-
Ungültige Stimmen;2;0,5 %;-;2;0,5 %;-
Gültige Stimmen;371;99,5 %;-;371;99,5 %;-
SPD;120;32,3 %;-;130;35,0 %;-
AfD;82;22,1 %;-;66;17,8 %;-
CDU;81;21,8 %;-;52;14,0 %;-
GRÜNE/B 90;10;2,7 %;-;16;4,3 %;-
DIE LINKE;45;12,1 %;-;17;4,6 %;-
BVB / FREIE WÄHLER;23;6,2 %;-;5;1,3 %;-
FDP;10;2,7 %;-;4;1,1 %;-
Tierschutzpartei;-;-;-;4;1,1 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;73;19,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;0;0,0 %;-;-;-;-
