Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;894;-;-;894;-;-
Ungültige Stimmen;7;0,8 %;-;2;0,2 %;-
Gültige Stimmen;887;99,2 %;-;892;99,8 %;-
SPD;244;27,5 %;-;264;29,6 %;-
AfD;172;19,4 %;-;131;14,7 %;-
CDU;166;18,7 %;-;135;15,1 %;-
GRÜNE/B 90;61;6,9 %;-;61;6,8 %;-
DIE LINKE;48;5,4 %;-;18;2,0 %;-
BVB / FREIE WÄHLER;173;19,5 %;-;61;6,8 %;-
FDP;7;0,8 %;-;3;0,3 %;-
Tierschutzpartei;-;-;-;19;2,1 %;-
Plus;-;-;-;5;0,6 %;-
BSW;-;-;-;186;20,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,2 %;-
DLW;-;-;-;3;0,3 %;-
WU;-;-;-;4;0,4 %;-
dieBasis;7;0,8 %;-;-;-;-
EB Link;9;1,0 %;-;-;-;-
