Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;554;-;-;554;-;-
Ungültige Stimmen;3;0,5 %;-;0;0,0 %;-
Gültige Stimmen;551;99,5 %;-;554;100,0 %;-
SPD;117;21,2 %;-;124;22,4 %;-
AfD;141;25,6 %;-;109;19,7 %;-
CDU;123;22,3 %;-;98;17,7 %;-
GRÜNE/B 90;26;4,7 %;-;10;1,8 %;-
DIE LINKE;32;5,8 %;-;13;2,3 %;-
BVB / FREIE WÄHLER;105;19,1 %;-;33;6,0 %;-
FDP;7;1,3 %;-;4;0,7 %;-
Tierschutzpartei;-;-;-;12;2,2 %;-
Plus;-;-;-;12;2,2 %;-
BSW;-;-;-;134;24,2 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;1;0,2 %;-
