Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;359;-;-;359;-;-
Ungültige Stimmen;2;0,6 %;-;0;0,0 %;-
Gültige Stimmen;357;99,4 %;-;359;100,0 %;-
SPD;86;24,1 %;-;88;24,5 %;-
AfD;89;24,9 %;-;73;20,3 %;-
CDU;82;23,0 %;-;43;12,0 %;-
GRÜNE/B 90;12;3,4 %;-;10;2,8 %;-
DIE LINKE;21;5,9 %;-;8;2,2 %;-
BVB / FREIE WÄHLER;64;17,9 %;-;24;6,7 %;-
FDP;3;0,8 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;5;1,4 %;-
Plus;-;-;-;5;1,4 %;-
BSW;-;-;-;100;27,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;1;0,3 %;-
