Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.278;-;-;1.278;-;-
Ungültige Stimmen;10;0,8 %;-;1.0;0,1 %;-
Gültige Stimmen;1.268;99,2 %;-;1.277;99,9 %;-
SPD;329;25,9 %;-;365.0;28,6 %;-
AfD;228;18,0 %;-;200.0;15,7 %;-
CDU;360;28,4 %;-;242.0;19,0 %;-
GRÜNE/B 90;61;4,8 %;-;79.0;6,2 %;-
DIE LINKE;111;8,8 %;-;36.0;2,8 %;-
BVB / FREIE WÄHLER;164;12,9 %;-;71.0;5,6 %;-
FDP;15;1,2 %;-;14.0;1,1 %;-
Tierschutzpartei;-;-;-;19.0;1,5 %;-
Plus;-;-;-;16.0;1,3 %;-
BSW;-;-;-;227.0;17,8 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;6.0;0,5 %;-
WU;-;-;-;2.0;0,2 %;-
