Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.104;-;-;1.104;-;-
Ungültige Stimmen;17;1,5 %;-;9.0;0,8 %;-
Gültige Stimmen;1.087;98,5 %;-;1.095;99,2 %;-
SPD;228;21,0 %;-;268.0;24,5 %;-
AfD;293;27,0 %;-;239.0;21,8 %;-
CDU;212;19,5 %;-;157.0;14,3 %;-
GRÜNE/B 90;56;5,2 %;-;29.0;2,6 %;-
DIE LINKE;88;8,1 %;-;42.0;3,8 %;-
BVB / FREIE WÄHLER;197;18,1 %;-;79.0;7,2 %;-
FDP;13;1,2 %;-;9.0;0,8 %;-
Tierschutzpartei;-;-;-;29.0;2,6 %;-
Plus;-;-;-;7.0;0,6 %;-
BSW;-;-;-;224.0;20,5 %;-
III. Weg;-;-;-;1.0;0,1 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;8.0;0,7 %;-
WU;-;-;-;3.0;0,3 %;-
