Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;874;-;-;874;-;-
Ungültige Stimmen;16;1,8 %;-;9;1,0 %;-
Gültige Stimmen;858;98,2 %;-;865;99,0 %;-
SPD;203;23,7 %;-;215;24,9 %;-
AfD;185;21,6 %;-;163;18,8 %;-
CDU;136;15,9 %;-;107;12,4 %;-
GRÜNE/B 90;33;3,8 %;-;42;4,9 %;-
DIE LINKE;51;5,9 %;-;31;3,6 %;-
BVB / FREIE WÄHLER;243;28,3 %;-;88;10,2 %;-
FDP;7;0,8 %;-;7;0,8 %;-
Tierschutzpartei;-;-;-;8;0,9 %;-
Plus;-;-;-;17;2,0 %;-
BSW;-;-;-;180;20,8 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;2;0,2 %;-
DLW;-;-;-;4;0,5 %;-
WU;-;-;-;0;0,0 %;-
