Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;906;-;-;906;-;-
Ungültige Stimmen;12;1,3 %;-;3;0,3 %;-
Gültige Stimmen;894;98,7 %;-;903;99,7 %;-
SPD;304;34,0 %;-;295;32,7 %;-
AfD;183;20,5 %;-;155;17,2 %;-
CDU;207;23,2 %;-;138;15,3 %;-
GRÜNE/B 90;39;4,4 %;-;30;3,3 %;-
DIE LINKE;68;7,6 %;-;38;4,2 %;-
BVB / FREIE WÄHLER;80;8,9 %;-;30;3,3 %;-
FDP;13;1,5 %;-;5;0,6 %;-
Tierschutzpartei;-;-;-;27;3,0 %;-
Plus;-;-;-;18;2,0 %;-
BSW;-;-;-;164;18,2 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;1;0,1 %;-
