Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;429;-;-;429;-;-
Ungültige Stimmen;6;1,4 %;+00;3;0,7 %;+00
Gültige Stimmen;423;98,6 %;-00;426;99,3 %;-00
SPD;117;27,7 %;-47;125;29,3 %;-08
AfD;112;26,5 %;+129;89;20,9 %;+56
CDU;139;32,9 %;+139;75;17,6 %;-20
GRÜNE/B 90;11;2,6 %;-76;11;2,6 %;-81
DIE LINKE;12;2,8 %;-123;7;1,6 %;-101
BVB / FREIE WÄHLER;28;6,6 %;+13;13;3,1 %;-09
FDP;4;0,9 %;-32;3;0,7 %;-38
Tierschutzpartei;-;-;-;9;2,1 %;-05
Plus;-;-;-;3;0,7 %;-03
BSW;-;-;-;88;20,7 %;+207
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;3;0,7 %;+07
WU;-;-;-;0;0,0 %;00
