Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;491;-;-;491;-;-
Ungültige Stimmen;7;1,4 %;+03;1;0,2 %;-06
Gültige Stimmen;484;98,6 %;-03;490;99,8 %;+06
SPD;158;32,6 %;+23;147;30,0 %;+22
AfD;114;23,6 %;+78;89;18,2 %;+03
CDU;139;28,7 %;+113;94;19,2 %;+27
GRÜNE/B 90;18;3,7 %;-91;13;2,7 %;-80
DIE LINKE;21;4,3 %;-48;7;1,4 %;-93
BVB / FREIE WÄHLER;33;6,8 %;-47;20;4,1 %;-46
FDP;1;0,2 %;-27;1;0,2 %;-41
Tierschutzpartei;-;-;-;5;1,0 %;-17
Plus;-;-;-;4;0,8 %;-00
BSW;-;-;-;101;20,6 %;+206
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;6;1,2 %;+12
WU;-;-;-;3;0,6 %;+06
