Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.052;-;-;1.052;-;-
Ungültige Stimmen;18;1,7 %;-01;7.0;0,7 %;-07
Gültige Stimmen;1.034;98,3 %;+01;1.045;99,3 %;+07
SPD;340;32,9 %;+84;330.0;31,6 %;+33
AfD;246;23,8 %;+81;214.0;20,5 %;+42
CDU;267;25,8 %;+18;198.0;18,9 %;-26
GRÜNE/B 90;24;2,3 %;-67;25.0;2,4 %;-71
DIE LINKE;52;5,0 %;-50;13.0;1,2 %;-66
BVB / FREIE WÄHLER;83;8,0 %;-20;20.0;1,9 %;-61
FDP;22;2,1 %;-32;12.0;1,1 %;-44
Tierschutzpartei;-;-;-;24.0;2,3 %;+03
Plus;-;-;-;11.0;1,1 %;+04
BSW;-;-;-;191.0;18,3 %;+183
III. Weg;-;-;-;1.0;0,1 %;+01
DKP;-;-;-;1.0;0,1 %;+01
DLW;-;-;-;4.0;0,4 %;+04
WU;-;-;-;1.0;0,1 %;+01
