Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.021;-;-;1.021;-;-
Ungültige Stimmen;8;0,8 %;-;2.0;0,2 %;-
Gültige Stimmen;1.013;99,2 %;-;1.019;99,8 %;-
SPD;375;37,0 %;-;340.0;33,4 %;-
AfD;191;18,9 %;-;166.0;16,3 %;-
CDU;225;22,2 %;-;187.0;18,4 %;-
GRÜNE/B 90;33;3,3 %;-;38.0;3,7 %;-
DIE LINKE;52;5,1 %;-;23.0;2,3 %;-
BVB / FREIE WÄHLER;87;8,6 %;-;25.0;2,5 %;-
FDP;26;2,6 %;-;7.0;0,7 %;-
Tierschutzpartei;-;-;-;28.0;2,7 %;-
Plus;24;2,4 %;-;13.0;1,3 %;-
BSW;-;-;-;184.0;18,1 %;-
III. Weg;-;-;-;1.0;0,1 %;-
DKP;-;-;-;1.0;0,1 %;-
DLW;-;-;-;5.0;0,5 %;-
WU;-;-;-;1.0;0,1 %;-
