Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;896;-;-;896;-;-
Ungültige Stimmen;11;1,2 %;-01;5;0,6 %;-07
Gültige Stimmen;885;98,8 %;+01;891;99,4 %;+07
SPD;362;40,9 %;-18;297;33,3 %;+08
AfD;163;18,4 %;+52;137;15,4 %;+07
CDU;168;19,0 %;+54;118;13,2 %;-21
GRÜNE/B 90;43;4,9 %;-74;73;8,2 %;-63
DIE LINKE;69;7,8 %;-29;22;2,5 %;-102
BVB / FREIE WÄHLER;71;8,0 %;+36;29;3,3 %;-02
FDP;9;1,0 %;-21;5;0,6 %;-31
Tierschutzpartei;-;-;-;13;1,5 %;-06
Plus;-;-;-;7;0,8 %;-00
BSW;-;-;-;180;20,2 %;+202
III. Weg;-;-;-;2;0,2 %;+02
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;3;0,3 %;+03
WU;-;-;-;4;0,4 %;+04
