Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;929;-;-;929;-;-
Ungültige Stimmen;7;0,8 %;-;2;0,2 %;-
Gültige Stimmen;922;99,2 %;-;927;99,8 %;-
SPD;339;36,8 %;-;312;33,7 %;-
AfD;128;13,9 %;-;111;12,0 %;-
CDU;248;26,9 %;-;181;19,5 %;-
GRÜNE/B 90;62;6,7 %;-;83;9,0 %;-
DIE LINKE;39;4,2 %;-;29;3,1 %;-
BVB / FREIE WÄHLER;44;4,8 %;-;19;2,0 %;-
FDP;25;2,7 %;-;15;1,6 %;-
Tierschutzpartei;-;-;-;16;1,7 %;-
Plus;27;2,9 %;-;20;2,2 %;-
BSW;-;-;-;134;14,5 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;3;0,3 %;-
EB Müller;10;1,1 %;-;-;-;-
