Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;903;-;-;903;-;-
Ungültige Stimmen;3;0,3 %;-00;2;0,2 %;-00
Gültige Stimmen;900;99,7 %;+00;901;99,8 %;+00
SPD;272;30,2 %;+81;273;30,3 %;+68
AfD;87;9,7 %;+11;73;8,1 %;-10
CDU;307;34,1 %;+111;276;30,6 %;+92
GRÜNE/B 90;121;13,4 %;-133;109;12,1 %;-141
DIE LINKE;24;2,7 %;-51;17;1,9 %;-45
BVB / FREIE WÄHLER;31;3,4 %;-05;12;1,3 %;-12
FDP;48;5,3 %;-24;45;5,0 %;-31
Tierschutzpartei;-;-;-;12;1,3 %;-03
Plus;10;1,1 %;+11;10;1,1 %;+01
BSW;-;-;-;68;7,5 %;+75
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;2;0,2 %;+02
WU;-;-;-;4;0,4 %;+04
