Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.496;-;-;1.496;-;-
Ungültige Stimmen;11;0,7 %;-;0.0;0,0 %;-
Gültige Stimmen;1.485;99,3 %;-;1.496;100,0 %;-
SPD;439;29,6 %;-;504.0;33,7 %;-
AfD;196;13,2 %;-;182.0;12,2 %;-
CDU;358;24,1 %;-;369.0;24,7 %;-
GRÜNE/B 90;106;7,1 %;-;90.0;6,0 %;-
DIE LINKE;40;2,7 %;-;29.0;1,9 %;-
BVB / FREIE WÄHLER;265;17,8 %;-;61.0;4,1 %;-
FDP;60;4,0 %;-;34.0;2,3 %;-
Tierschutzpartei;-;-;-;23.0;1,5 %;-
Plus;21;1,4 %;-;19.0;1,3 %;-
BSW;-;-;-;172.0;11,5 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;5.0;0,3 %;-
WU;-;-;-;8.0;0,5 %;-
