Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0.0;-;-
Wählende;1.601;-;-;1.601;-;-
Ungültige Stimmen;10;0,6 %;-;6.0;0,4 %;-
Gültige Stimmen;1.591;99,4 %;-;1.595;99,6 %;-
SPD;554;34,8 %;-;560.0;35,1 %;-
AfD;215;13,5 %;-;183.0;11,5 %;-
CDU;396;24,9 %;-;361.0;22,6 %;-
GRÜNE/B 90;142;8,9 %;-;141.0;8,8 %;-
DIE LINKE;43;2,7 %;-;29.0;1,8 %;-
BVB / FREIE WÄHLER;98;6,2 %;-;22.0;1,4 %;-
FDP;101;6,3 %;-;57.0;3,6 %;-
Tierschutzpartei;-;-;-;37.0;2,3 %;-
Plus;42;2,6 %;-;18.0;1,1 %;-
BSW;-;-;-;172.0;10,8 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;6.0;0,4 %;-
WU;-;-;-;9.0;0,6 %;-
