Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;730;-;-;730;-;-
Ungültige Stimmen;3;0,4 %;-;0;0,0 %;-
Gültige Stimmen;727;99,6 %;-;730;100,0 %;-
SPD;262;36,0 %;-;292;40,0 %;-
AfD;51;7,0 %;-;43;5,9 %;-
CDU;84;11,6 %;-;67;9,2 %;-
GRÜNE/B 90;189;26,0 %;-;147;20,1 %;-
DIE LINKE;77;10,6 %;-;66;9,0 %;-
BVB / FREIE WÄHLER;28;3,9 %;-;6;0,8 %;-
FDP;13;1,8 %;-;9;1,2 %;-
Tierschutzpartei;23;3,2 %;-;11;1,5 %;-
Plus;-;-;-;15;2,1 %;-
BSW;-;-;-;72;9,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;1;0,1 %;-
