Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;660;-;-;660;-;-
Ungültige Stimmen;8;1,2 %;-;1;0,2 %;-
Gültige Stimmen;652;98,8 %;-;659;99,8 %;-
SPD;201;30,8 %;-;202;30,7 %;-
AfD;121;18,6 %;-;110;16,7 %;-
CDU;226;34,7 %;-;194;29,4 %;-
GRÜNE/B 90;36;5,5 %;-;39;5,9 %;-
DIE LINKE;13;2,0 %;-;8;1,2 %;-
BVB / FREIE WÄHLER;23;3,5 %;-;11;1,7 %;-
FDP;32;4,9 %;-;18;2,7 %;-
Tierschutzpartei;-;-;-;11;1,7 %;-
Plus;-;-;-;10;1,5 %;-
BSW;-;-;-;52;7,9 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;2;0,3 %;-
