Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;869;-;-;869;-;-
Ungültige Stimmen;12;1,4 %;-;5;0,6 %;-
Gültige Stimmen;857;98,6 %;-;864;99,4 %;-
SPD;351;41,0 %;-;312;36,1 %;-
AfD;163;19,0 %;-;135;15,6 %;-
CDU;166;19,4 %;-;115;13,3 %;-
GRÜNE/B 90;33;3,9 %;-;35;4,1 %;-
DIE LINKE;50;5,8 %;-;28;3,2 %;-
BVB / FREIE WÄHLER;80;9,3 %;-;23;2,7 %;-
FDP;14;1,6 %;-;14;1,6 %;-
Tierschutzpartei;-;-;-;28;3,2 %;-
Plus;-;-;-;16;1,9 %;-
BSW;-;-;-;146;16,9 %;-
III. Weg;-;-;-;3;0,3 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;6;0,7 %;-
