Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;841;-;-;841;-;-
Ungültige Stimmen;9;1,1 %;+01;7;0,8 %;+03
Gültige Stimmen;832;98,9 %;-01;834;99,2 %;-03
SPD;314;37,7 %;+87;294;35,3 %;+56
AfD;143;17,2 %;+22;124;14,9 %;-09
CDU;194;23,3 %;+54;158;18,9 %;+34
GRÜNE/B 90;36;4,3 %;-71;41;4,9 %;-76
DIE LINKE;33;4,0 %;-77;15;1,8 %;-92
BVB / FREIE WÄHLER;95;11,4 %;+01;26;3,1 %;-38
FDP;17;2,0 %;-16;14;1,7 %;-25
Tierschutzpartei;-;-;-;24;2,9 %;+01
Plus;-;-;-;15;1,8 %;+03
BSW;-;-;-;117;14,0 %;+140
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;1;0,1 %;+01
WU;-;-;-;4;0,5 %;+05
