Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;762;-;-;762;-;-
Ungültige Stimmen;11;1,4 %;-;2;0,3 %;-
Gültige Stimmen;751;98,6 %;-;760;99,7 %;-
SPD;332;44,2 %;-;263;34,6 %;-
AfD;-;-;-;168;22,1 %;-
CDU;94;12,5 %;-;101;13,3 %;-
GRÜNE/B 90;12;1,6 %;-;14;1,8 %;-
DIE LINKE;39;5,2 %;-;18;2,4 %;-
BVB / FREIE WÄHLER;53;7,1 %;-;18;2,4 %;-
FDP;6;0,8 %;-;6;0,8 %;-
Tierschutzpartei;-;-;-;19;2,5 %;-
Plus;-;-;-;11;1,4 %;-
BSW;-;-;-;132;17,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;3;0,4 %;-
WU;-;-;-;6;0,8 %;-
EB Raue;215;28,6 %;-;-;-;-
