Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;792;-;-;792;-;-
Ungültige Stimmen;17;2,1 %;+17;9;1,1 %;+07
Gültige Stimmen;775;97,9 %;-17;783;98,9 %;-07
SPD;330;42,6 %;+80;318;40,6 %;+83
AfD;-;-;-197;140;17,9 %;-41
CDU;146;18,8 %;+57;113;14,4 %;-07
GRÜNE/B 90;17;2,2 %;-75;23;2,9 %;-47
DIE LINKE;51;6,6 %;-21;32;4,1 %;-53
BVB / FREIE WÄHLER;38;4,9 %;-72;20;2,6 %;-40
FDP;7;0,9 %;-12;3;0,4 %;-23
Tierschutzpartei;-;-;-;18;2,3 %;-10
Plus;-;-;-;4;0,5 %;-04
BSW;-;-;-;107;13,7 %;+137
III. Weg;-;-;-;1;0,1 %;+01
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;3;0,4 %;+04
WU;-;-;-;1;0,1 %;+01
EB Raue;186;24,0 %;+240;-;-;-
