Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;890;-;-;890;-;-
Ungültige Stimmen;25;2,8 %;+20;4;0,4 %;-04
Gültige Stimmen;865;97,2 %;-20;886;99,6 %;+04
SPD;318;36,8 %;+91;322;36,3 %;+86
AfD;-;-;-192;162;18,3 %;-16
CDU;192;22,2 %;+46;134;15,1 %;-02
GRÜNE/B 90;25;2,9 %;-43;26;2,9 %;-65
DIE LINKE;92;10,6 %;-79;26;2,9 %;-118
BVB / FREIE WÄHLER;74;8,6 %;+27;16;1,8 %;-28
FDP;10;1,2 %;-28;5;0,6 %;-34
Tierschutzpartei;-;-;-;31;3,5 %;+05
Plus;-;-;-;9;1,0 %;-02
BSW;-;-;-;149;16,8 %;+168
III. Weg;-;-;-;1;0,1 %;+01
DKP;-;-;-;1;0,1 %;+01
DLW;-;-;-;2;0,2 %;+02
WU;-;-;-;2;0,2 %;+02
EB Raue;154;17,8 %;+178;-;-;-
