Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;715;-;-;715;-;-
Ungültige Stimmen;10;1,4 %;-;4;0,6 %;-
Gültige Stimmen;705;98,6 %;-;711;99,4 %;-
SPD;172;24,4 %;-;188;26,4 %;-
AfD;153;21,7 %;-;133;18,7 %;-
CDU;205;29,1 %;-;181;25,5 %;-
GRÜNE/B 90;21;3,0 %;-;23;3,2 %;-
DIE LINKE;37;5,2 %;-;16;2,3 %;-
BVB / FREIE WÄHLER;91;12,9 %;-;33;4,6 %;-
FDP;26;3,7 %;-;15;2,1 %;-
Tierschutzpartei;-;-;-;18;2,5 %;-
Plus;-;-;-;8;1,1 %;-
BSW;-;-;-;94;13,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,3 %;-
