Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;677;-;-;677;-;-
Ungültige Stimmen;4;0,6 %;-;1;0,1 %;-
Gültige Stimmen;673;99,4 %;-;676;99,9 %;-
SPD;188;27,9 %;-;199;29,4 %;-
AfD;136;20,2 %;-;130;19,2 %;-
CDU;193;28,7 %;-;150;22,2 %;-
GRÜNE/B 90;35;5,2 %;-;31;4,6 %;-
DIE LINKE;26;3,9 %;-;6;0,9 %;-
BVB / FREIE WÄHLER;82;12,2 %;-;51;7,5 %;-
FDP;13;1,9 %;-;9;1,3 %;-
Tierschutzpartei;-;-;-;15;2,2 %;-
Plus;-;-;-;7;1,0 %;-
BSW;-;-;-;71;10,5 %;-
III. Weg;-;-;-;2;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;3;0,4 %;-
